ID,Subject,Predicate,Object,stv,Strength,overall,MturkTruth
4189,Abel_Gance,directed,Louise__film_,0.4150431454,11.5,4.7729961721,1
30718,Prince_Pedro_Henrique_of_Orléans-Braganza,isMarriedTo,Princess_Maria_Elisabeth_of_Bavaria,0.5555528402,1,0.5555528402,1
7075,Victor_Salva,created,Jeepers_Creepers_2,0.4203598499,1.5,0.6305397749,1
25788,Rex_Balsom,isMarriedTo,Jennifer_Rappaport,0.4224498272,2,0.8448996544,1
9218,Emilio_Fernández,directed,La_Choca,0.4592462182,5.6666666667,2.6023952365,1
9199,Emilio_Fernández,directed,Siempre_tuya,0.3957529068,8.5,3.3638997078,1
23300,Fuad_I_of_Egypt,isMarriedTo,Nazli_Sabri,0.938126862,1,0.938126862,1
30633,Janelle_Timmins,isMarriedTo,Kim_Timmins,0.982727468,1.5,1.474091202,1
16906,Georg_Balthasar_Metzger,hasAcademicAdvisor,Johann_Georg_Macasius,0.9669585824,3,2.9008757472,1
30421,Jessica_Buchanan,isMarriedTo,Nash_Brennan,0.8695389628,1,0.8695389628,1
3735,John_McCarthy__computer_scientist_,created,Lisp__programming_language_,0.4276426435,2.5,1.0691066088,1
12579,David_E._Durston,directed,I_Drink_Your_Blood,0.3425098658,1,0.3425098658,1
19690,Donald_Knuth,created,MMIX,0.3425098956,3.5,1.1987846346,1
8596,Jacques_Feyder,directed,Le_Grand_Jeu__1934_film_,0.4276425838,6,2.5658555028,1
10054,Paul_Spence,created,FUBAR__film_,0.4474327564,1.3333333333,0.5965770085,1
30320,Grand_Duke_Michael_Nikolaevich_of_Russia,isMarriedTo,Olga_Feodorovna_of_Baden,0.3843609095,1,0.3843609095,1
29032,Dave_McKean,directed,MirrorMask,0.3425099254,1,0.3425099254,1
14006,Cynthia_Stone,isMarriedTo,Cliff_Robertson,0.9313514829,2,1.8627029658,1
28607,Joss_Whedon,created,Goners,0.4232328534,63.5,26.8752861909,1
3374,Frederick_William_IV_of_Prussia,isMarriedTo,Elisabeth_Ludovika_of_Bavaria,0.4911691844,1,0.4911691844,1
9208,Emilio_Fernández,directed,Rosanna__film_,0.4647269249,8.5,3.9501788617,1
23349,Ludovico_Sforza,isMarriedTo,Beatrice_d'Este,0.6793269515,1,0.6793269515,1
21508,Warren_Beatty,actedIn,Bulworth,0.3425098956,4,1.3700395824,1
6314,Craig_Ferguson,actedIn,I'll_Be_There__film_,0.490793407,2.6666666667,1.3087824187,1
26521,Zhang_Youyi,isMarriedTo,Xu_Zhimo,0.4933775365,1,0.4933775365,1
27484,Ronald_Reagan,isMarriedTo,Jane_Wyman,0.4276425838,1.5,0.6414638757,1
9020,Michael_Dowse,directed,Kids_in_America__2011_film_,0.4276425838,2.5,1.0691064595,1
28798,Connie_Booth,isMarriedTo,John_Cleese,0.4815536439,1.5,0.7223304659,1
16881,James_Franklin__printer_,isMarriedTo,Ann_Smith_Franklin,0.3425098956,1,0.3425098956,1
27114,John_Cleese,isMarriedTo,Alyce_Faye_Eichelberger,0.0183984041,1.5,0.0275976062,1
28886,Charlotte_of_Belgium,isMarriedTo,Maximilian_I_of_Mexico,0.9670629501,1,0.9670629501,1
28062,Rod_Steiger,isMarriedTo,Claire_Bloom,0.4223959744,1,0.4223959744,1
21515,Warren_Beatty,created,Love_Affair__1994_film_,0.4280959964,1.6666666667,0.7134933273,1
17904,Leonid_Trauberg,directed,The_Youth_of_Maxim,0.9676724672,7,6.7737072704,1
24489,Princess_Märtha_of_Sweden,isMarriedTo,Olav_V_of_Norway,0.4276425838,1,0.4276425838,1
6891,Jeremy_Sisto,isMarriedTo,Marisa_Ryan,0.4997343421,1,0.4997343421,1
886,Mai_Zetterling,created,Doctor_Glas__film_,0.4372947514,2,0.8745895028,1
29601,Anna_Lee,isMarriedTo,Robert_Stevenson__director_,0.4100763798,1.5,0.6151145697,1
10326,Jaromil_Jireš,created,The_Cry__1963_film_,0.4276425838,1,0.4276425838,1
10019,Jerzy_Jurandot,isMarriedTo,Stefania_Grodzieńska,0.4276426435,1,0.4276426435,1
31618,Cleve_Moler,isKnownFor,MATLAB,0.8984289169,1,0.8984289169,1
280,Jack_Lemmon,isMarriedTo,Cynthia_Stone,0.5752775669,2,1.1505551338,1
23828,Henri-Georges_Clouzot,directed,Manon__film_,0.4972651005,5.5,2.7349580528,1
4067,Ludwig_III_of_Bavaria,isMarriedTo,Maria_Theresa_of_Austria-Este__1849–1919_,0.420517385,1,0.420517385,1
17982,Noboru_Iguchi,created,The_Machine_Girl,0.577495873,2,1.154991746,1
13691,François_Dupeyron,created,The_Officers'_Ward__film_,0.3425098658,1.5,0.5137647987,1
20468,Stephen_King,isMarriedTo,Tabitha_King,0.4757404923,1,0.4757404923,1
29855,Prince_Hassan_bin_Talal,isMarriedTo,Princess_Sarvath_El_Hassan,0.4439871311,1,0.4439871311,1
11036,Sebastian_Arcelus,isMarriedTo,Stephanie_J._Block,0.4096707106,1,0.4096707106,1
15558,Rajan_Khosa,created,Dance_of_the_Wind,0.5557355881,1,0.5557355881,1
4174,Abel_Gance,directed,Le_droit_à_la_vie,0.4276425838,11.5,4.9178897137,1
27952,Robin_Williams,actedIn,Mrs._Doubtfire,0.4319654405,15.6666666667,6.7674585678,1
23372,Augustus_III_of_Poland,isMarriedTo,Maria_Josepha_of_Austria,0.5616229773,1,0.5616229773,1
28361,Antonia_Fraser,isMarriedTo,Harold_Pinter,0.4272727966,1,0.4272727966,1
11729,Arthur_Rankin,produced,_Jr._The_Mad__Mad__Mad_Comedians,0.3425098658,2,0.6850197316,0
26513,Ilona_Szilágyi,isMarriedTo,Vlad_III_the_Impaler,0.4177514613,1,0.4177514613,1
19547,Agrippina_the_Elder,isMarriedTo,Germanicus,0.3425099254,1,0.3425099254,1
7650,Andrew_I_of_Hungary,isMarriedTo,Anastasia_of_Kiev,0.4276425838,1,0.4276425838,1
26711,Charles_Montague_Cooke,isMarriedTo,Anna_Rice_Cooke,0.9446027875,1,0.9446027875,1
18734,Daniel_C._Miller,livesIn,Harrisburg__Pennsylvania,0.3838253021,0.6666666667,0.2558835347,1
25567,Adam_Chandler,isMarriedTo,Brooke_English,0.4069427848,3,1.2208283544,1
2891,Una_Stubbs,isMarriedTo,Peter_Gilmore,0.4258359373,2,0.8516718746,1
10506,Ola_Rapace,isMarriedTo,Noomi_Rapace,0.4276425838,1,0.4276425838,1
26556,Riazuddin__physicist_,worksAt,Pakistan_Atomic_Energy_Commission,0.4946915507,4,1.9787662028,1
24523,Grand_Duchess_Olga_Alexandrovna_of_Russia,isMarriedTo,Nikolai_Kulikovsky,0.4276425838,1,0.4276425838,1
27820,Charles_XV_of_Sweden,isMarriedTo,Louise_of_the_Netherlands,0.4036328793,1,0.4036328793,1
29252,Emperor_Zhao_of_Han,isMarriedTo,Grand_Empress_Dowager_Shangguan,0.982727468,1,0.982727468,1
406,Quentin_Tarantino,actedIn,From_Dusk_till_Dawn,0.7028428912,2,1.4056857824,1
25958,Natalia_Rivera_Aitoro,hasChild,Gus_Aitoro,0.4177514613,1,0.4177514613,1
26119,Artie_Lange,created,Artie_Lange's_Beer_League,0.4276425838,1,0.4276425838,1
4169,Abel_Gance,created,Le_périscope,0.5059745312,9,4.5537707808,1
25644,Rambhai_Barni,isMarriedTo,Prajadhipok,0.4241536558,1,0.4241536558,1
21991,Kenneth_Branagh,created,The_Magic_Flute__2006_film_,0.4803345203,2.5,1.2008363008,1
21490,Warren_Beatty,actedIn,Reds__film_,0.9831138849,4,3.9324555396,1
9638,Alex_Chandon,directed,Pervirella,1.4251102806,3.5,4.9878859821,1
26386,Alan_Alda,directed,War_of_Nerves__M*A*S*H_,0.4276425838,4,1.7105703352,1
14553,T._B._Walker,isMarriedTo,Harriet_G._Walker,0.6213507652,1,0.6213507652,1
13582,Becky_Stark,created,Califunya,0.3425099254,1,0.3425099254,1
6974,Lauren_Holly,isMarriedTo,Jim_Carrey,0.4106097221,1,0.4106097221,1
25890,Gus_Aitoro,isMarriedTo,Harley_Cooper,0.4276425838,2.5,1.0691064595,1
25897,Gertrude_of_Hohenburg,isMarriedTo,Rudolph_I_of_Germany,0.458126992,1.5,0.687190488,1
19070,Michael_Bell__mayor_,isLeaderOf,Toledo__Ohio,0.3425099254,0.6666666667,0.2283399503,1
28242,Harold_Pinter,isMarriedTo,Antonia_Fraser,0.4474327564,1.5,0.6711491346,1
22828,Cliff_Robertson,created,J._W._Coop,0.5745307803,0.5,0.2872653902,1
28873,Norman_Mailer,created,Maidstone__film_,0.982727468,3.3333333333,3.2757582266,1
14898,Yves_Angelo,created,Colonel_Chabert__1994_film_,0.4711261094,1,0.4711261094,1
4175,Abel_Gance,created,The_Torture_of_Silence,0.4791519642,9,4.3123676778,1
7859,Steven_E._de_Souza,directed,Arnold's_Wrecking_Co.,0.4276425838,2,0.8552851676,1
8040,Danielle_Spencer__Australian_singer_,isMarriedTo,Russell_Crowe,0.4182900488,1,0.4182900488,1
21970,Kenneth_Branagh,directed,Peter's_Friends,0.4531171322,4.3333333333,1.9635075729,1
25239,Neela_Rasgotra,isMarriedTo,Michael_Gallant,0.4255912602,2,0.8511825204,1
21509,Warren_Beatty,directed,Bulworth,0.3425099254,1.25,0.4281374068,1
29822,Robert_Stevenson__director_,isMarriedTo,Anna_Lee,0.4425321817,1.5,0.6637982726,1
26316,Ferdinand_II_of_Aragon,isMarriedTo,Germaine_of_Foix,0.4276425838,1.5,0.6414638757,1
26786,Comoros,hasOfficialLanguage,Arabic_language,0.4469013214,18,8.0442237852,1
23970,Martin_Lawrence,created,You_So_Crazy,0.4608598053,2,0.9217196106,1
2382,Prunella_Scales,isMarriedTo,Timothy_West,0.4276425838,1,0.4276425838,1
2892,Una_Stubbs,isMarriedTo,Nicky_Henson,0.4276426435,1.5,0.6414639653,1
26750,Alfonso_XII_of_Spain,isMarriedTo,Maria_Christina_of_Austria,0.4276425838,1.5,0.6414638757,1
22806,Cliff_Robertson,isMarriedTo,Dina_Merrill,0.9671886563,2,1.9343773126,1
12212,Éric_Rochant,created,The_Patriots__film_,0.982727468,1,0.982727468,1
10402,Lucas_Belvaux,directed,La_Raison_du_plus_faible,0.4276425838,3.5,1.4967490433,1
4692,Gloria_Stuart,isMarriedTo,Arthur_Sheekman,0.4373797476,1,0.4373797476,1
8590,Jacques_Feyder,directed,Carnival_in_Flanders__film_,0.4276425838,6,2.5658555028,1
30419,Jessica_Buchanan,isMarriedTo,Antonio_Vega,0.9669585228,1.5,1.4504377842,1
10404,Lucas_Belvaux,directed,Rapt__2009_film_,0.4276425838,3.5,1.4967490433,1
21640,King_Vidor,created,Bud's_Recruit,0.3425099254,5.5,1.8838045897,1
25892,Gus_Aitoro,hasChild,Natalia_Rivera_Aitoro,1.0425525307,0.75,0.781914398,0
10188,Carol_Jackson,hasChild,Billie_Jackson,0.7709921002,6,4.6259526012,1
25725,Leonor_Telles_de_Menezes,isMarriedTo,Ferdinand_I_of_Portugal,0.4276425838,1,0.4276425838,1
29341,Maria_Christina_of_the_Two_Sicilies,isMarriedTo,Ferdinand_VII_of_Spain,0.8973062038,2,1.7946124076,1
22966,Louise_Dresser,isMarriedTo,Jack_Norworth,0.4633500576,1,0.4633500576,1
12171,Jean_Case,isMarriedTo,Steve_Case,0.4413212836,1,0.4413212836,1
21992,Kenneth_Branagh,directed,The_Magic_Flute__2006_film_,0.3425099254,6.5,2.2263145151,1
14820,Sarah_Mlynowski,isCitizenOf,Canada,0.3906817138,16,6.2509074208,1
28320,Jerry_Seinfeld,actedIn,Bee_Movie,0.4276425838,0.6666666667,0.2850950559,1
9018,Michael_Dowse,directed,It's_All_Gone_Pete_Tong,0.817751199,2.5,2.0443779975,1
26385,Alan_Alda,created,War_of_Nerves__M*A*S*H_,0.4317400455,3,1.2952201365,1
21926,Rex_Harrison,isMarriedTo,Lilli_Palmer,0.3425099254,2.5,0.8562748135,1
5996,Harry_Hughes,isMarriedTo,Patricia_Donoho_Hughes,0.4276425838,1,0.4276425838,1
7671,Peter_Gilmore,isMarriedTo,Una_Stubbs,0.4148673415,2.5,1.0371683538,1
28073,Václav_Havel,isMarriedTo,Olga_Havlová,0.4096849859,1,0.4096849859,1
12816,Raymond_Bernard,directed,Les_Misérables__1934_film_,0.982727468,1.5,1.474091202,1
28849,Demi_Moore,isMarriedTo,Ashton_Kutcher,0.4376773834,2,0.8753547668,1
4155,Abel_Gance,created,End_of_the_World__1931_film_,0.4177514613,6,2.5065087678,1
10652,Nasser_Taghvai,created,Captain_Khorshid,0.4254780412,1.5,0.6382170618,1
31468,John_McCarthy__computer_scientist_,isKnownFor,Lisp__programming_language_,0.0439568236,1,0.0439568236,1
10403,Lucas_Belvaux,created,Rapt__2009_film_,0.5555528402,1.5,0.8333292603,1
7307,Andrew_Lane,created,Jake_Speed,0.4276425838,0.6666666667,0.2850950559,1
25575,Michael_Gallant,isMarriedTo,Neela_Rasgotra,0.4335386753,2,0.8670773506,1
10291,Marshall_Brickman,directed,The_Manhattan_Project__film_,0.4782646,1.3333333333,0.6376861333,1
30405,Maria_Amalia_of_Saxony,isMarriedTo,Charles_III_of_Spain,0.7350572348,1,0.7350572348,1
5149,Jill_Hennessy,actedIn,The_Acting_Class,0.3854899704,3.3333333333,1.284966568,1
12096,Ali_Selim,directed,Sweet_Land,0.4140322506,0.6666666667,0.2760215004,1
25909,Princess_Joséphine_Caroline_of_Belgium,isMarriedTo,Prince_Karl_Anton_of_Hohenzollern,0.4276425838,1,0.4276425838,1
31098,Anna_Rice_Cooke,hasChild,Charles_Montague_Cooke__Jr.,0.676726222,4,2.706904888,1
25296,Princess_Anne_of_Denmark,isMarriedTo,Prince_George_Valdemar_of_Denmark,0.4276425838,1,0.4276425838,1
8378,Marco_Ferreri,directed,El_Cochecito,0.8683667182,9,7.8153004638,1
18971,Tamiliam_Subas,produced,Vanni_Mouse,0.5680817366,0.6666666667,0.3787211578,1
29457,Abel_of_Denmark,isMarriedTo,Matilda_of_Holstein,0.3849108219,1,0.3849108219,1
6389,Emilie_Schindler,isMarriedTo,Oskar_Schindler,0.9101629555,1,0.9101629555,1
9014,Michael_Dowse,produced,FUBAR__film_,0.4698159695,1.3333333333,0.6264212927,1
12094,Ali_Selim,produced,Sweet_Land,0.3425099254,0.6666666667,0.2283399503,1
27908,Alexandra_of_Denmark,isMarriedTo,Edward_VII_of_the_United_Kingdom,0.5105772614,1,0.5105772614,1
25948,Frank_D._Gilroy,produced,Desperate_Characters,0.4944609404,0.6666666667,0.3296406269,1
31011,Zara_Salim_Davidson,isMarriedTo,Raja_Nazrin_Shah,0.4010510743,1,0.4010510743,1
21815,Norodom_Sihanouk,directed,My_Village_at_Sunset,0.9453274012,1.3333333333,1.2604365349,1
30807,Annie_Lavery,isMarriedTo,Ryan_Lavery,0.4276425838,1.5,0.6414638757,1
20117,John_Wayne,isMarriedTo,Pilar_Pallete,0.3425099254,1.5,0.5137648881,1
30686,Maria_Adelaide_of_Austria,isMarriedTo,Victor_Emmanuel_II_of_Italy,0.4372947514,1,0.4372947514,1
11095,Rahul_Mahajan__Reality_TV_Personality_,isMarriedTo,Dimpy_Mahajan,0.4394207299,1,0.4394207299,1
10393,Kevin_McNally,isMarriedTo,Phyllis_Logan,0.4373797476,1,0.4373797476,1
30420,Jessica_Buchanan,hasChild,Nash_Brennan,0.8874343634,0.6666666667,0.591622909,1
4159,Abel_Gance,directed,La_Folie_du_Docteur_Tube,0.4276425838,11.5,4.9178897137,1
14858,Sandra_Goldbacher,directed,The_Governess,1,1.5,1.5,1
17604,Noomi_Rapace,isMarriedTo,Ola_Rapace,0.5745307803,1,0.5745307803,1
11076,Bert_Haanstra,produced,Alleman__film_,0.6545621157,1,0.6545621157,1
26837,David_Mamet,directed,House_of_Games,0.4804060459,4,1.9216241836,1
31282,Maija_DiGiorgio,created,Bitter_Jester,0.4203598499,0.6666666667,0.2802398999,1
30717,Ryan_Lavery,isMarriedTo,Annie_Lavery,0.4276425838,1,0.4276425838,1
6820,Maria_Augimeri,isMarriedTo,Odoardo_Di_Santo,0.3988951147,1,0.3988951147,1
20800,Tabitha_King,isMarriedTo,Stephen_King,0.3425098956,1,0.3425098956,1
18075,Tonia_Marketaki,created,Crystal_Nights,0.9663606882,1,0.9663606882,1
25626,Jacques_Doillon,created,Family_Life__1985_film_,0.4962947369,3,1.4888842107,1
30920,Mitch_Laurence,isMarriedTo,Natalie_Buchanan,0.4856135547,2.5,1.2140338868,1
31325,Princess_Sophie_of_Saxony,isMarriedTo,Duke_Karl-Theodor_in_Bavaria,0.4096849859,1,0.4096849859,1
28625,Ferdinand_II_of_the_Two_Sicilies,isMarriedTo,Maria_Christina_of_Savoy,1.1047774255,1,1.1047774255,1
27520,Rupert_Murdoch,isMarriedTo,Wendi_Deng,0.9177426696,1,0.9177426696,1
18494,Manny_Villar,isMarriedTo,Cynthia_Villar,0.3425099254,1,0.3425099254,1
27680,Theodore_Roosevelt,isMarriedTo,Alice_Hathaway_Lee_Roosevelt,0.4207159579,1.5,0.6310739369,1
23820,Henri-Georges_Clouzot,created,The_Wages_of_Fear,0.5012188554,4.5,2.2554848493,1
21649,King_Vidor,directed,Better_Times__1919_film_,0.3425099254,28,9.5902779112,1
29180,Robert_Taylor__actor_,isMarriedTo,Ursula_Thiess,0.4747208953,1.5,0.712081343,1
17902,Leonid_Trauberg,directed,Simple_People,0.3425099254,7,2.3975694778,1
31095,Gloria_Marsh,isMarriedTo,Dimitri_Marick,0.4402164221,2,0.8804328442,1
6921,Jon_Hall,isMarriedTo,Frances_Langford,0.4825210571,1.5,0.7237815857,1
23004,Burt_Reynolds,isMarriedTo,Judy_Carne,0.4310207367,1.5,0.6465311051,1
9015,Michael_Dowse,created,FUBAR__film_,0.4461698532,2,0.8923397064,1
27294,Louis_IX_of_France,isMarriedTo,Margaret_of_Provence,0.4259463549,1,0.4259463549,1
3650,Alexandra_Wentworth,isMarriedTo,George_Stephanopoulos,0.4276425838,1,0.4276425838,1
29589,Erica_Kane,isMarriedTo,Jackson_Montgomery,0.9015904665,1.5,1.3523856998,1
30974,Cécile_de_Maron,isMarriedTo,Leonard_von_Lahnstein,0.416775465,1,0.416775465,1
25248,Barbara_Rush,isMarriedTo,Jeffrey_Hunter,0.4106097221,2,0.8212194442,1
23517,Guangxu_Emperor,isMarriedTo,Empress_Dowager_Longyu,0.4276425838,1,0.4276425838,1
29468,Barack_Obama,isMarriedTo,Michelle_Obama,0.6512963176,2.5,1.628240794,1
24875,Louise_of_Sweden,isMarriedTo,Frederick_VIII_of_Denmark,0.4342404902,1,0.4342404902,1
30845,Ted_Hartley,isMarriedTo,Dina_Merrill,0.4470141232,1.5,0.6705211848,1
17903,Leonid_Trauberg,created,The_Youth_of_Maxim,0.4160688221,3.5,1.4562408774,1
26200,Prince_Franz_of_Bavaria,isMarriedTo,Princess_Isabella_Antonie_of_Croÿ,0.4793457985,1,0.4793457985,1
3938,Robert_Kardashian,isMarriedTo,Kris_Jenner,0.5499971509,1.5,0.8249957264,1
8384,Marco_Ferreri,created,The_Ape_Woman,0.4210640192,6,2.5263841152,1
4161,Abel_Gance,created,J'accuse!__1938_film_,0.5185357928,6,3.1112147568,1
29585,Erica_Kane,isMarriedTo,Dimitri_Marick,0.4570745528,1.3333333333,0.6094327371,1
30221,Mercedes_of_Orléans,isMarriedTo,Alfonso_XII_of_Spain,0.6529961824,1.5,0.9794942736,1
11195,Kevin_Munroe,created,Teenage_Mutant_Ninja_Turtles__film_series_,0.4276425838,2,0.8552851676,1
28294,Queen_Sonja_of_Norway,isMarriedTo,Harald_V_of_Norway,0.4633438587,1,0.4633438587,1
27468,Paul_Auster,created,Blue_in_the_Face,0.4143872857,4.5,1.8647427857,1
29733,Claire_Bloom,isMarriedTo,Rod_Steiger,0.3942225575,2,0.788445115,1
23862,Francis_I_of_the_Two_Sicilies,isMarriedTo,Archduchess_Maria_Clementina_of_Austria,0.4276424348,1,0.4276424348,1
26574,Princess_Isabella_Antonie_of_Croÿ,isMarriedTo,Prince_Franz_of_Bavaria,0.5357314348,1,0.5357314348,1
25238,Neela_Rasgotra,isMarriedTo,Tony_Gates,0.5105772614,2,1.0211545228,1
132,Arthur_Miller,isMarriedTo,Marilyn_Monroe,0.4327291846,1.5,0.6490937769,1
25356,Dorian_Lord,isMarriedTo,David_Vickers,0.4276425838,2.5,1.0691064595,1
9087,Mary_Lee_Woods,isMarriedTo,Conway_Berners-Lee,0.4276425838,1,0.4276425838,1
31588,Donald_Knuth,isKnownFor,The_Art_of_Computer_Programming,0.3425099552,3,1.0275298656,1
3795,Princess_Beatrice_of_the_United_Kingdom,isMarriedTo,Prince_Henry_of_Battenberg,0.5567080975,1,0.5567080975,1
23184,Abdullah_I_of_Jordan,isMarriedTo,Musbah_bint_Nasser,0.5745271444,1,0.5745271444,1
10320,Sheldon_Reynolds__producer_,created,Killer's_Carnival,0.4356232285,1,0.4356232285,1
30992,Vera_Nabokov,isMarriedTo,Vladimir_Nabokov,0.4134325385,1,0.4134325385,1
29790,Eddie_Griffin,actedIn,Dysfunktional_Family,0.7281428576,5.3333333333,3.8834285738,1
27827,William_IV_of_the_United_Kingdom,isMarriedTo,Adelaide_of_Saxe-Meiningen,0.4276425838,1,0.4276425838,1
9210,Emilio_Fernández,directed,Río_Escondido__1948_film_,0.4141927063,8.5,3.5206380036,1
11392,Frank_Buck__animal_collector_,isMarriedTo,Amy_Leslie,0.4276425838,1,0.4276425838,1
9646,Alex_Chandon,actedIn,Chainsaw_Scumfuck,0.4060115814,1.3333333333,0.5413487752,1
28270,Guy_Ritchie,created,The_Hire,0.4276425838,1,0.4276425838,1
14542,Saeed_Akhtar_Mirza,created,Arvind_Desai_Ki_Ajeeb_Dastaan,0.3425099552,3,1.0275298656,1
17897,Leonid_Trauberg,directed,Alone__1931_film_,0.3425099254,7,2.3975694778,1
21502,Warren_Beatty,produced,Dick_Tracy__1990_film_,0.5135737658,3.3333333333,1.7119125526,1
4183,Abel_Gance,created,The_Ironmaster,0.4276425838,9,3.8487832542,1
6082,Jaya_Bachchan,isMarriedTo,Amitabh_Bachchan,0.6013643742,1,0.6013643742,1
22909,Chris_Rock,actedIn,I_Think_I_Love_My_Wife,0.3425098956,5,1.712549478,1
15992,Vilsoni_Hereniko,directed,The_Land_Has_Eyes,0.3425099254,0.6666666667,0.2283399503,1
17547,Masud_Ahmad,hasAcademicAdvisor,Riazuddin__physicist_,0.3425098658,3,1.0275295974,1
14950,Joe_McStravick,directed,Murphy_771,0.4803345799,1,0.4803345799,1
21488,Warren_Beatty,produced,Reds__film_,0.3425099254,2.5,0.8562748135,1
9116,Isabel_Coixet,created,My_Life_Without_Me,0.3993825912,2,0.7987651824,1
23831,Henri-Georges_Clouzot,directed,La_Vérité__film_,0.4453089833,5.5,2.4491994082,1
5794,Parris_Glendening,isMarriedTo,Frances_Hughes_Glendening,0.4453089833,1,0.4453089833,1
21235,Sigismund_III_Vasa,isMarriedTo,Constance_of_Austria,0.982727468,1,0.982727468,1
10058,Paul_Spence,actedIn,FUBAR_2__film_,0.4276425838,1,0.4276425838,1
22830,Cliff_Robertson,directed,J._W._Coop,0.3425099254,0.75,0.2568824441,1
14274,Farida_of_Egypt,isMarriedTo,Farouk_of_Egypt,0.5236159563,1.5,0.7854239345,1
15928,Kris_Jenner,isMarriedTo,Bruce_Jenner,0.5745577812,2,1.1491155624,1
30086,Louise_of_Hesse-Kassel,isMarriedTo,Christian_IX_of_Denmark,0.3425099254,1,0.3425099254,1
19402,Olu_Jacobs,isMarriedTo,Joke_Silva,0.5602130294,1,0.5602130294,1
2877,Ward_Kimball,produced,Man_in_Space,0.4250917435,0.6666666667,0.2833944957,1
11203,Gabrielle_Giffords,isMarriedTo,Mark_E._Kelly,0.4328060746,1,0.4328060746,1
